Year,Month,State,Data Status,Category,Revenue,MW,Customers,Price
2022,5,NC,Preliminary,Commercial,397158.71,4244650.2,741707,9.36
2022,5,NC,Preliminary,Industrial,157228.9,2243109.5,9359,7.01
2022,5,NC,Preliminary,Transportation,91.53,1227.6,1,7.46
2022,5,NC,Preliminary,Other,,,,
2022,5,ND,Preliminary,Residential,38963.59,327782.41,392888,11.89
2022,5,ND,Preliminary,Commercial,53656.41,598789.43,77562,8.96
2022,5,ND,Preliminary,Industrial,69059.24,1010778.2,9049,6.83
2022,5,ND,Preliminary,Transportation,0.0,0.0,0,0.0
2022,5,ND,Preliminary,Other,,,,
2022,5,NE,Preliminary,Residential,79713.28,719164.2,882201,11.08
2022,5,NE,Preliminary,Commercial,66662.64,741929.26,160491,8.99
2022,5,NE,Preliminary,Industrial,76140.24,1041149.9,64448,7.31
2022,5,NE,Preliminary,Transportation,0.0,0.0,0,0.0
2022,5,NE,Preliminary,Other,,,,
2022,5,NH,Preliminary,Residential,78191.13,339167.68,643523,23.05
2022,5,NH,Preliminary,Commercial,55977.28,323649.34,111098,17.3
2022,5,NH,Preliminary,Industrial,23488.04,165639.78,3174,14.18
2022,5,NH,Preliminary,Transportation,0.0,0.0,0,0.0
2022,5,NH,Preliminary,Other,,,,
2022,5,NJ,Preliminary,Residential,367351.28,2160747.8,3679673,17.0
2022,5,NJ,Preliminary,Commercial,412411.83,2904439.6,532449,14.2
2022,5,NJ,Preliminary,Industrial,64751.27,525703.31,11419,12.32
2022,5,NJ,Preliminary,Transportation,2488.79,20356.81,6,12.23
2022,5,NJ,Preliminary,Other,,,,
2022,5,NM,Preliminary,Residential,69437.9,536239.89,905686,12.95
2022,5,NM,Preliminary,Commercial,80814.54,783349.82,146034,10.32
2022,5,NM,Preliminary,Industrial,56732.36,897567.92,9357,6.32
2022,5,NM,Preliminary,Transportation,0.0,0.0,0,0.0
2022,5,NM,Preliminary,Other,,,,
2022,5,NV,Preliminary,Residential,148367.17,1094508.9,1267663,13.56
2022,5,NV,Preliminary,Commercial,98645.18,1102746.3,172449,8.95
2022,5,NV,Preliminary,Industrial,77161.09,1081901.2,3445,7.13
2022,5,NV,Preliminary,Transportation,52.24,546.95,1,9.55
2022,5,NV,Preliminary,Other,,,,
2022,5,NY,Preliminary,Residential,790459.18,3616871.8,7339189,21.85
2022,5,NY,Preliminary,Commercial,908006.74,5369811.1,1163143,16.91
2022,5,NY,Preliminary,Industrial,84013.97,1188870.0,7274,7.07
2022,5,NY,Preliminary,Transportation,26117.69,190875.82,8,13.68
2022,5,NY,Preliminary,Other,,,,
2022,5,OH,Preliminary,Residential,500441.13,3642251.3,5088171,13.74
2022,5,OH,Preliminary,Commercial,390810.47,3709526.2,633397,10.54
2022,5,OH,Preliminary,Industrial,338247.03,4214824.9,19581,8.03
2022,5,OH,Preliminary,Transportation,193.57,2390.21,2,8.1
2022,5,OH,Preliminary,Other,,,,
2022,5,OK,Preliminary,Residential,227843.15,1834703.5,1843400,12.42
2022,5,OK,Preliminary,Commercial,183716.51,1810025.6,298692,10.15
2022,5,OK,Preliminary,Industrial,134884.94,1952233.7,19310,6.91
2022,5,OK,Preliminary,Transportation,0.0,0.0,0,0.0
2022,5,OK,Preliminary,Other,,,,
2022,5,OR,Preliminary,Residential,165666.84,1433058.7,1827482,11.56
2022,5,OR,Preliminary,Commercial,123489.91,1316248.0,248338,9.38
2022,5,OR,Preliminary,Industrial,81847.41,1320354.5,25542,6.2
2022,5,OR,Preliminary,Transportation,185.65,1804.16,2,10.29
2022,5,OR,Preliminary,Other,,,,
2022,5,PA,Preliminary,Residential,551542.66,3629616.9,5492440,15.2
